Date,StockID,StockName,Mark
20230322,003031,中瓷电子,78.33
20230322,688098,申联生物,79.0
20230322,000626,远大控股,79.25
20230322,300475,香农芯创,79.92
20230322,002306,中科云网,79.92
20230322,300481,濮阳惠成,79.92
20230322,688188,柏楚电子,79.92
20230322,300577,开润股份,80.08
20230322,300012,华测检测,80.42
20230322,603602,纵横通信,80.42
20230322,600650,锦江在线,80.83
20230322,000529,广弘控股,80.92
20230322,002141,贤丰控股,81.33
20230322,002629,仁智股份,81.33
20230322,605167,利柏特,81.5
20230322,688685,迈信林,81.67
20230322,603267,鸿远电子,81.75
20230322,301031,中熔电气,82.33
20230322,300532,今天国际,82.83
20230322,300679,电连技术,83.33
20230322,688575,亚辉龙,83.5
20230322,300777,中简科技,83.92
20230322,688201,信安世纪,84.5
20230322,300343,联创股份,85.33
20230322,688678,福立旺,85.58
